0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:55:16 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2259
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:56:15 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:56:15 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2260
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:56:27 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:56:27 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:57:11 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4721
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:57:11 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2255
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:58:26 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:58:26 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:58:43 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:58:43 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:58:51 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:58:51 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:58:53 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:58:53 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:59:00 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:59:00 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:59:07 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:59:07 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:59:32 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:59:32 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:59:54 +0530] "GET /smarteval/aboutus.jsp HTTP/1.1" 200 4726
0:0:0:0:0:0:0:1 - - [17/Jul/2023:23:59:54 +0530] "GET /smarteval/CSS/index.css HTTP/1.1" 200 2256
